Council area,Year,Population
NHS Grampian,1998,215650
NHS Grampian,1999,214630
NHS Grampian,2000,213340
NHS Grampian,2001,211910
NHS Grampian,2002,210680
NHS Grampian,2003,209280
NHS Grampian,2004,207820
NHS Grampian,2005,208690
NHS Grampian,2006,209630
NHS Grampian,2007,212470
NHS Grampian,2008,214020
NHS Grampian,2009,217020
NHS Grampian,2010,219730
NHS Grampian,2011,222460
NHS Grampian,2012,224910
NHS Grampian,2013,227070
NHS Grampian,2014,228920
NHS Grampian,2015,230350
NHS Grampian,2016,229840
NHS Grampian,2017,228800
NHS Grampian,2018,227560
NHS Grampian,2019,228670
NHS Grampian,1998,226220
NHS Grampian,1999,227240
NHS Grampian,2000,227020
NHS Grampian,2001,226940
NHS Grampian,2002,228830
NHS Grampian,2003,231250
NHS Grampian,2004,234690
NHS Grampian,2005,237570
NHS Grampian,2006,241180
NHS Grampian,2007,244390
NHS Grampian,2008,246830
NHS Grampian,2009,249020
NHS Grampian,2010,251430
NHS Grampian,2011,253650
NHS Grampian,2012,255560
NHS Grampian,2013,257770
NHS Grampian,2014,260530
NHS Grampian,2015,261960
NHS Grampian,2016,262190
NHS Grampian,2017,261800
NHS Grampian,2018,261470
NHS Grampian,2019,261210
NHS Tayside,1998,109790
NHS Tayside,1999,109560
NHS Tayside,2000,108850
NHS Tayside,2001,108370
NHS Tayside,2002,108810
NHS Tayside,2003,108700
NHS Tayside,2004,110170
NHS Tayside,2005,111340
NHS Tayside,2006,112500
NHS Tayside,2007,113540
NHS Tayside,2008,114490
NHS Tayside,2009,114830
NHS Tayside,2010,115410
NHS Tayside,2011,116200
NHS Tayside,2012,116220
NHS Tayside,2013,116290
NHS Tayside,2014,116740
NHS Tayside,2015,116900
NHS Tayside,2016,116520
NHS Tayside,2017,116280
NHS Tayside,2018,116040
NHS Tayside,2019,116200
NHS Highland,1998,91670
NHS Highland,1999,91640
NHS Highland,2000,91050
NHS Highland,2001,91300
NHS Highland,2002,91020
NHS Highland,2003,90930
NHS Highland,2004,90580
NHS Highland,2005,90340
NHS Highland,2006,90860
NHS Highland,2007,90790
NHS Highland,2008,89910
NHS Highland,2009,89450
NHS Highland,2010,88620
NHS Highland,2011,88930
NHS Highland,2012,86910
NHS Highland,2013,88050
NHS Highland,2014,87650
NHS Highland,2015,86890
NHS Highland,2016,87130
NHS Highland,2017,86810
NHS Highland,2018,86260
NHS Highland,2019,85870
NHS Lothian,1998,446240
NHS Lothian,1999,447190
NHS Lothian,2000,448430
NHS Lothian,2001,449020
NHS Lothian,2002,447500
NHS Lothian,2003,445300
NHS Lothian,2004,445870
NHS Lothian,2005,449470
NHS Lothian,2006,452040
NHS Lothian,2007,456040
NHS Lothian,2008,458520
NHS Lothian,2009,463230
NHS Lothian,2010,469930
NHS Lothian,2011,477940
NHS Lothian,2012,482630
NHS Lothian,2013,487460
NHS Lothian,2014,492610
NHS Lothian,2015,498810
NHS Lothian,2016,507170
NHS Lothian,2017,513210
NHS Lothian,2018,518500
NHS Lothian,2019,524930
NHS Forth Valley,1998,48410
NHS Forth Valley,1999,48240
NHS Forth Valley,2000,48170
NHS Forth Valley,2001,48070
NHS Forth Valley,2002,48140
NHS Forth Valley,2003,48140
NHS Forth Valley,2004,48680
NHS Forth Valley,2005,49160
NHS Forth Valley,2006,49540
NHS Forth Valley,2007,50600
NHS Forth Valley,2008,51190
NHS Forth Valley,2009,51290
NHS Forth Valley,2010,51330
NHS Forth Valley,2011,51500
NHS Forth Valley,2012,51280
NHS Forth Valley,2013,51280
NHS Forth Valley,2014,51190
NHS Forth Valley,2015,51360
NHS Forth Valley,2016,51350
NHS Forth Valley,2017,51450
NHS Forth Valley,2018,51400
NHS Forth Valley,2019,51540
NHS Dumfries and Galloway,1998,148740
NHS Dumfries and Galloway,1999,148230
NHS Dumfries and Galloway,2000,147540
NHS Dumfries and Galloway,2001,147780
NHS Dumfries and Galloway,2002,147670
NHS Dumfries and Galloway,2003,147860
NHS Dumfries and Galloway,2004,148700
NHS Dumfries and Galloway,2005,149620
NHS Dumfries and Galloway,2006,149770
NHS Dumfries and Galloway,2007,150370
NHS Dumfries and Galloway,2008,151010
NHS Dumfries and Galloway,2009,151160
NHS Dumfries and Galloway,2010,151100
NHS Dumfries and Galloway,2011,151410
NHS Dumfries and Galloway,2012,150840
NHS Dumfries and Galloway,2013,150280
NHS Dumfries and Galloway,2014,149960
NHS Dumfries and Galloway,2015,149670
NHS Dumfries and Galloway,2016,149520
NHS Dumfries and Galloway,2017,149200
NHS Dumfries and Galloway,2018,148790
NHS Dumfries and Galloway,2019,148860
NHS Tayside,1998,149680
NHS Tayside,1999,147970
NHS Tayside,2000,146610
NHS Tayside,2001,145460
NHS Tayside,2002,144370
NHS Tayside,2003,144080
NHS Tayside,2004,143100
NHS Tayside,2005,143600
NHS Tayside,2006,143360
NHS Tayside,2007,143700
NHS Tayside,2008,144290
NHS Tayside,2009,145170
NHS Tayside,2010,146060
NHS Tayside,2011,147200
NHS Tayside,2012,147780
NHS Tayside,2013,148100
NHS Tayside,2014,148130
NHS Tayside,2015,148210
NHS Tayside,2016,148270
NHS Tayside,2017,148710
NHS Tayside,2018,148750
NHS Tayside,2019,149320
NHS Ayrshire and Arran,1998,121000
NHS Ayrshire and Arran,1999,120550
NHS Ayrshire and Arran,2000,120120
NHS Ayrshire and Arran,2001,120310
NHS Ayrshire and Arran,2002,119920
NHS Ayrshire and Arran,2003,119850
NHS Ayrshire and Arran,2004,120210
NHS Ayrshire and Arran,2005,120280
NHS Ayrshire and Arran,2006,120440
NHS Ayrshire and Arran,2007,120950
NHS Ayrshire and Arran,2008,121600
NHS Ayrshire and Arran,2009,122110
NHS Ayrshire and Arran,2010,122410
NHS Ayrshire and Arran,2011,122690
NHS Ayrshire and Arran,2012,122730
NHS Ayrshire and Arran,2013,122430
NHS Ayrshire and Arran,2014,122130
NHS Ayrshire and Arran,2015,122060
NHS Ayrshire and Arran,2016,122200
NHS Ayrshire and Arran,2017,121940
NHS Ayrshire and Arran,2018,121840
NHS Ayrshire and Arran,2019,122010
NHS Greater Glasgow and Clyde,1998,109040
NHS Greater Glasgow and Clyde,1999,108670
NHS Greater Glasgow and Clyde,2000,108620
NHS Greater Glasgow and Clyde,2001,108250
NHS Greater Glasgow and Clyde,2002,107350
NHS Greater Glasgow and Clyde,2003,107000
NHS Greater Glasgow and Clyde,2004,106540
NHS Greater Glasgow and Clyde,2005,106040
NHS Greater Glasgow and Clyde,2006,105590
NHS Greater Glasgow and Clyde,2007,105050
NHS Greater Glasgow and Clyde,2008,104940
NHS Greater Glasgow and Clyde,2009,104960
NHS Greater Glasgow and Clyde,2010,104920
NHS Greater Glasgow and Clyde,2011,105000
NHS Greater Glasgow and Clyde,2012,105880
NHS Greater Glasgow and Clyde,2013,105840
NHS Greater Glasgow and Clyde,2014,106710
NHS Greater Glasgow and Clyde,2015,106960
NHS Greater Glasgow and Clyde,2016,107540
NHS Greater Glasgow and Clyde,2017,108130
NHS Greater Glasgow and Clyde,2018,108330
NHS Greater Glasgow and Clyde,2019,108640
NHS Lothian,1998,88360
NHS Lothian,1999,89110
NHS Lothian,2000,89910
NHS Lothian,2001,90180
NHS Lothian,2002,91060
NHS Lothian,2003,91640
NHS Lothian,2004,92170
NHS Lothian,2005,92730
NHS Lothian,2006,93850
NHS Lothian,2007,95570
NHS Lothian,2008,97480
NHS Lothian,2009,98340
NHS Lothian,2010,99140
NHS Lothian,2011,99920
NHS Lothian,2012,100860
NHS Lothian,2013,101390
NHS Lothian,2014,102090
NHS Lothian,2015,103050
NHS Lothian,2016,104090
NHS Lothian,2017,104840
NHS Lothian,2018,105790
NHS Lothian,2019,107090
NHS Greater Glasgow and Clyde,1998,88310
NHS Greater Glasgow and Clyde,1999,88520
NHS Greater Glasgow and Clyde,2000,89040
NHS Greater Glasgow and Clyde,2001,89410
NHS Greater Glasgow and Clyde,2002,89930
NHS Greater Glasgow and Clyde,2003,89870
NHS Greater Glasgow and Clyde,2004,89790
NHS Greater Glasgow and Clyde,2005,89880
NHS Greater Glasgow and Clyde,2006,89750
NHS Greater Glasgow and Clyde,2007,89840
NHS Greater Glasgow and Clyde,2008,89870
NHS Greater Glasgow and Clyde,2009,89980
NHS Greater Glasgow and Clyde,2010,90410
NHS Greater Glasgow and Clyde,2011,90810
NHS Greater Glasgow and Clyde,2012,91040
NHS Greater Glasgow and Clyde,2013,91530
NHS Greater Glasgow and Clyde,2014,92410
NHS Greater Glasgow and Clyde,2015,92940
NHS Greater Glasgow and Clyde,2016,93810
NHS Greater Glasgow and Clyde,2017,94760
NHS Greater Glasgow and Clyde,2018,95170
NHS Greater Glasgow and Clyde,2019,95530
NHS Forth Valley,1998,143880
NHS Forth Valley,1999,144570
NHS Forth Valley,2000,144650
NHS Forth Valley,2001,145270
NHS Forth Valley,2002,145920
NHS Forth Valley,2003,146800
NHS Forth Valley,2004,148300
NHS Forth Valley,2005,150130
NHS Forth Valley,2006,151090
NHS Forth Valley,2007,152320
NHS Forth Valley,2008,153290
NHS Forth Valley,2009,154210
NHS Forth Valley,2010,155130
NHS Forth Valley,2011,156250
NHS Forth Valley,2012,156800
NHS Forth Valley,2013,157160
NHS Forth Valley,2014,157690
NHS Forth Valley,2015,158460
NHS Forth Valley,2016,159380
NHS Forth Valley,2017,160130
NHS Forth Valley,2018,160340
NHS Forth Valley,2019,160890
NHS Fife,1998,346540
NHS Fife,1999,347030
